iter	MAE
0	1013.137787
1	927.6386314
2	852.1796598
3	789.0454799
4	740.4928817
5	684.970592
6	636.245395
7	601.6081232
8	563.557691
9	528.9924338
10	497.3672293
11	473.1172591
12	450.0007412
13	429.0336913
14	412.0197512
15	396.0772757
16	381.0191951
17	368.1954899
18	356.3640945
19	346.6329976
20	337.4357504
21	330.4982978
22	323.7508623
23	317.8924307
24	311.5653997
25	306.1350516
26	300.1021735
27	295.262458
28	291.4631865
29	287.1848753
30	283.2389541
31	280.3587171
32	277.1506547
33	274.5928629
34	272.1438473
35	270.4771531
36	268.3569708
37	267.0032403
38	265.4938356
39	264.0967532
40	262.7544999
41	261.5076218
42	260.5052618
43	259.9387087
44	259.1585897
45	258.4357966
46	257.6845504
47	256.9879867
48	256.4054188
49	255.2776062
50	254.6430961
51	254.0541495
52	253.6401262
53	253.2303271
54	252.6017784
55	252.1140737
56	251.6688186
57	251.3072518
58	251.0342488
59	250.8195681
60	250.5514169
61	250.1330262
62	249.948798
63	249.8050421
64	249.6405654
65	249.492925
66	249.3487438
67	249.2439439
68	249.0923717
69	248.9930317
70	248.9085056
71	248.8192468
72	248.746679
73	248.6331607
74	248.5571792
75	248.458242
76	248.0779417
77	247.8193447
78	247.6420473
79	247.5667745
80	247.4241412
81	247.3567527
82	247.2415827
83	247.1647554
84	247.1034544
85	247.0674575
86	246.9671538
87	246.9040925
88	246.7699597
89	246.6971719
90	246.6336276
91	246.576464
92	246.5203914
93	246.4764403
94	246.3885876
95	246.3412851
96	246.3080651
97	246.2033984
98	246.0647517
99	245.9910383
100	245.9575659
101	245.9095987
102	245.6447487
103	245.4962898
104	245.4625268
105	245.4409785
106	245.2717847
107	245.186779
108	245.098001
109	245.0175939
110	244.9261756
111	244.7507636
112	244.6717769
113	244.580251
114	244.5391885
115	244.303527
116	244.2646618
117	244.145841
118	244.1217915
119	244.0643853
120	243.96197
121	243.8586553
122	243.804107
123	243.7755136
124	243.7381473
125	243.6425503
126	243.508198
127	243.4488509
128	243.4147009
129	243.2909411
130	243.1348682
131	243.0728743
132	242.9617801
133	242.9127467
134	242.8170197
135	242.790724
136	242.7116325
137	242.6376128
138	242.6114034
139	242.5556021
140	242.527661
141	242.4342518
142	242.3955259
143	242.3443079
144	242.3179245
145	242.2819307
146	242.0593296
147	241.9386412
148	241.905902
149	241.8738898
150	241.7562855
151	241.7033343
152	241.6917561
153	241.6246296
154	241.4731889
155	241.4425216
156	241.3580057
157	241.2643898
158	241.2385962
159	241.2028866
160	241.1107625
161	241.0891297
162	241.0604075
163	240.9910708
164	240.9166975
165	240.8937577
166	240.8352833
167	240.7375789
168	240.6892941
169	240.6330103
170	240.5467601
171	240.4891027
172	240.4379527
173	240.4047478
174	240.3848714
175	240.2994046
176	240.2722458
177	240.2327115
178	240.1837332
179	240.1751413
180	240.1463287
181	240.1447264
182	240.0415871
183	240.0128432
184	239.9852968
185	239.8495128
186	239.8105797
187	239.725553
188	239.7042394
189	239.6853161
190	239.6778672
191	239.6639989
192	239.611898
193	239.574214
194	239.4471715
195	239.4046007
196	239.3123905
197	239.290823
198	239.2485504
199	239.231686
200	239.2280421
201	239.195959
202	239.1637083
203	239.1108231
204	239.0570182
205	239.0129483
206	238.9806745
207	238.955674
208	238.9292032
209	238.9188938
210	238.8650512
211	238.8418431
212	238.8122466
213	238.7907689
214	238.7741739
215	238.730869
216	238.7150554
217	238.6892882
218	238.6700555
219	238.6195549
220	238.5728126
221	238.5496623
222	238.5287742
223	238.4966802
224	238.4437928
225	238.410076
226	238.3872897
227	238.3517524
228	238.3360964
229	238.2780033
230	238.1779487
231	238.1338986
232	238.0975732
233	238.0716071
234	238.0558561
235	238.0548171
236	238.0187943
237	237.9975917
238	237.9949351
239	237.9692333
240	237.9444415
241	237.9278177
242	237.8012851
243	237.7879716
244	237.753563
245	237.7089119
246	237.6846282
247	237.6666936
248	237.6431005
249	237.6140968
250	237.5646778
251	237.5467136
252	237.5328261
253	237.5059689
254	237.4439463
255	237.4264073
256	237.4130439
257	237.3507351
258	237.3256149
259	237.2978763
260	237.2616612
261	237.2499668
262	237.2326893
263	237.1920858
264	237.1467691
265	237.1172239
266	237.1086653
267	237.0908219
268	237.0711782
269	237.0421903
270	237.041382
271	236.9805506
272	236.9464821
273	236.9193069
274	236.9094034
275	236.8833913
276	236.869139
277	236.8194504
278	236.8014522
279	236.775954
280	236.740779
281	236.7333345
282	236.6990824
283	236.6695211
284	236.6677001
285	236.6553747
286	236.6169353
287	236.5882162
288	236.5697228
289	236.4979724
290	236.4856674
291	236.4481912
292	236.390099
293	236.3692173
294	236.3369982
295	236.3244997
296	236.2960672
297	236.271652
298	236.255782
299	236.2277835
300	236.2218713
301	236.2022275
302	236.1543883
303	236.1535856
304	236.1466498
305	236.1460441
306	236.1358371
307	236.0463575
308	235.9820636
309	235.964041
310	235.9499767
311	235.9446909
312	235.9087815
313	235.8897602
314	235.8846708
315	235.870003
316	235.8695156
317	235.8418053
318	235.8413483
319	235.8178342
320	235.8159392
321	235.8100574
322	235.7967274
323	235.7800021
324	235.7111519
325	235.6850934
326	235.6716969
327	235.6623724
328	235.6620034
329	235.6602204
330	235.6598534
331	235.6142348
332	235.6019683
333	235.5808755
334	235.5805322
335	235.5786419
336	235.5464195
337	235.5426206
338	235.471984
339	235.4718103
340	235.4440878
341	235.4431419
342	235.4424004
343	235.4421726
344	235.4420536
345	235.4375794
346	235.4187653
347	235.4125717
348	235.4124203
349	235.4052851
350	235.3917859
351	235.3916236
352	235.3806985
353	235.3804595
354	235.3690142
355	235.3573997
356	235.347624
357	235.3452777
358	235.3451351
359	235.3276493
360	235.322819
361	235.3216582
362	235.3184005
363	235.3183333
364	235.2985807
365	235.2640141
366	235.2628735
367	235.2354731
368	235.2008158
369	235.1224511
370	235.0591817
371	235.0559497
372	235.0002495
373	234.9991724
374	234.9825255
375	234.9698158
376	234.950176
377	234.9436437
378	234.9417364
379	234.9319566
380	234.9204958
381	234.9187689
382	234.8972264
383	234.8949868
384	234.8938736
385	234.8492455
386	234.8282736
387	234.8281058
388	234.8271073
389	234.8245972
390	234.8245081
391	234.77435
392	234.7616192
393	234.7556318
394	234.733817
395	234.7279438
396	234.7265307
397	234.7256547
398	234.7053481
399	234.7041102
400	234.6995133
401	234.6985036
402	234.6984734
403	234.6874873
404	234.6869769
405	234.6460147
406	234.6424069
407	234.6390156
408	234.6219674
409	234.5830862
410	234.5592064
411	234.5475018
412	234.5474497
413	234.5394771
414	234.539371
415	234.5392896
416	234.5392318
417	234.5092485
418	234.5086498
419	234.5022721
420	234.4843059
421	234.4841929
422	234.4434784
423	234.4419393
424	234.3795264
425	234.3672914
426	234.3668159
427	234.3663883
428	234.3539857
429	234.3536022
430	234.3535446
431	234.3243842
432	234.3243612
433	234.3124846
434	234.3075239
435	234.2917786
436	234.2738914
437	234.2352734
438	234.228821
439	234.1813846
440	234.1734531
441	234.1620597
442	234.1616426
443	234.1612607
444	234.1481913
445	234.1361257
446	234.1337589
447	234.1069078
448	234.0964233
449	234.0925017
450	234.0892179
451	234.0708667
452	234.0568189
453	234.0281684
454	234.0079457
455	233.9795051
456	233.978425
457	233.9282493
458	233.9158402
459	233.9045309
460	233.8787962
461	233.8312386
462	233.8046147
463	233.7858358
464	233.7839976
465	233.7713825
466	233.7575757
467	233.7389216
468	233.7215825
469	233.7180197
470	233.671556
471	233.6435691
472	233.6101391
473	233.5530063
474	233.5320787
475	233.5197831
476	233.4858709
477	233.4769308
478	233.4651805
479	233.4321123
480	233.4062465
481	233.3593905
482	233.3170744
483	233.3077481
484	233.2926202
485	233.2825113
486	233.2820262
487	233.2541164
488	233.2454894
489	233.2035536
490	233.1871201
491	233.1532679
492	233.1420624
493	233.1345774
494	233.134402
495	233.1263461
496	233.1199456
497	233.1056554
498	233.089488
499	233.0860945
500	233.0629436
501	233.0449355
502	233.0034479
503	232.9731495
504	232.9627825
505	232.947971
506	232.922399
507	232.9220377
508	232.9145731
509	232.892322
510	232.8613296
511	232.858092
512	232.8338093
513	232.8096138
514	232.7977765
515	232.7852142
516	232.7842095
517	232.7770453
518	232.744627
519	232.7268372
520	232.7265378
521	232.6898277
522	232.6511871
523	232.6499646
524	232.6362137
525	232.6224028
526	232.6167866
527	232.6118547
528	232.6037651
529	232.6000375
530	232.5930068
531	232.5927149
532	232.5821266
533	232.579049
534	232.5642474
535	232.5465267
536	232.5267276
537	232.5170851
538	232.4952275
539	232.4816642
540	232.4466086
541	232.421674
542	232.4099386
543	232.4023148
544	232.3930885
545	232.3922272
546	232.3919884
547	232.3634455
548	232.3558136
549	232.3322859
550	232.3186688
551	232.3074499
552	232.3063482
553	232.2956511
554	232.2951436
555	232.2555275
556	232.2331853
557	232.2328292
558	232.2303269
559	232.2182749
560	232.217519
561	232.2174144
562	232.2055994
563	232.1896566
564	232.1778683
565	232.1668186
566	232.1454862
567	232.1394454
568	232.138857
569	232.1010252
570	232.0964552
571	232.0804538
572	232.0801627
573	232.0524539
574	232.0417039
575	232.0169695
576	231.9901158
577	231.9876147
578	231.9608853
579	231.9476974
580	231.9183081
581	231.8738131
582	231.8730898
583	231.8278007
584	231.812064
585	231.7980279
586	231.7636415
587	231.7429622
588	231.7201688
589	231.7002669
590	231.6996328
591	231.6995412
592	231.6994003
593	231.699294
594	231.686122
595	231.6820463
596	231.6799739
597	231.6794383
598	231.6600059
599	231.6524285
600	231.6523145
601	231.6467223
602	231.6363
603	231.6264976
604	231.5967556
605	231.5866891
606	231.5709896
607	231.5424322
608	231.539612
609	231.5393682
610	231.5243617
611	231.4990603
612	231.4922362
613	231.4894916
614	231.4641812
615	231.463988
616	231.4545885
617	231.4456362
618	231.4455621
619	231.4449676
620	231.4446117
621	231.4442035
622	231.4395411
623	231.4242571
624	231.4179272
625	231.3896368
626	231.3823721
627	231.3782235
628	231.3508666
629	231.3445547
630	231.329859
631	231.3115556
632	231.295074
633	231.2926132
634	231.2832493
635	231.2792853
636	231.2744607
637	231.2696676
638	231.2681254
639	231.2549893
640	231.2423463
641	231.2322581
642	231.2082376
643	231.2063582
644	231.203358
645	231.1828225
646	231.1260895
647	231.1170215
648	231.1100043
649	231.0951982
650	231.0947197
651	231.0866979
652	231.0454867
653	231.0414467
654	231.0313017
655	231.0304765
656	231.0276593
657	231.0255963
658	231.0253703
659	231.0250312
660	231.0247191
661	230.9905287
662	230.9743789
663	230.9660008
664	230.9644547
665	230.963478
666	230.961627
667	230.9562848
668	230.9471523
669	230.91936
670	230.902911
671	230.8996845
672	230.873645
673	230.8677797
674	230.8659027
675	230.8503545
676	230.8477126
677	230.8464126
678	230.846337
679	230.7994616
680	230.7824974
681	230.7822607
682	230.770286
683	230.7514505
684	230.7479634
685	230.7342675
686	230.7331163
687	230.7268649
688	230.7198301
689	230.7118084
690	230.7101679
691	230.7015778
692	230.7013438
693	230.7009941
694	230.6714406
695	230.6696942
696	230.6536213
697	230.652702
698	230.6507919
699	230.6484217
700	230.6467915
701	230.6300703
702	230.6131441
703	230.6129354
704	230.6068797
705	230.5842217
706	230.5765387
707	230.5386933
708	230.5330706
709	230.531154
710	230.5175
711	230.5120979
712	230.4869004
713	230.4761045
714	230.4661864
715	230.4479558
716	230.445198
717	230.4146381
718	230.4100117
719	230.3836308
720	230.3835109
721	230.3629729
722	230.3280419
723	230.3219155
724	230.2969677
725	230.2779919
726	230.2762829
727	230.2476298
728	230.2346786
729	230.2259254
730	230.2213208
731	230.201151
732	230.1626997
733	230.1579349
734	230.1551619
735	230.1518372
736	230.1204678
737	230.1183391
738	230.1172151
739	230.1138705
740	230.1115243
741	230.1015927
742	230.0770983
743	230.0589389
744	230.0576219
745	230.0524015
746	230.0412384
747	230.0164085
748	230.0152242
749	230.015157
750	230.0146585
751	230.012412
752	229.9817779
753	229.9811885
754	229.9808424
755	229.9730963
756	229.9720214
757	229.9652751
758	229.9567685
759	229.9555305
760	229.9528183
761	229.9517093
762	229.9510761
763	229.9507556
764	229.9486013
765	229.9476476
766	229.9473772
